Sr. No,Description,UOM,TOTAL Qty in Length / Nos,UNIT PRICE,TOTAL PRICE
CABLE LADDER & ACCESSORIES – HDG,,,,,
1,900X100  MM CABLE LADDER HDG,LTH,40,180.60999999999999,7224.4
2,750X100 MM CABLE LADDER HDG,LTH,41,166.1,6810.099999999999
3,600X100  MM CABLE LADDER HDG,LTH,45,151.73,6827.849999999999
4,450X100  MM CABLE LADDER HDG,LTH,184,137.35,25272.399999999998
5,300X100  MM CABLE LADDER HDG,LTH,192,122.98,23612.16
6,225X100  MM CABLE LADDER HDG,LTH,221,119.32000000000001,26369.72
7,150X100  MM CABLE LADDER HDG,LTH,25,108.47,2711.75
8,100X100  MM CABLE LADDER HDG,LTH,47,103.68,4872.96
9,900X100 MM CABLE LADDER HDG 90 DEGREE BEND,NOS,5,85.18,425.90000000000003
10,900X100 MM CABLE LADDER HDG 45 DEGREE BEND,NOS,5,65.22,326.1
11,900X100 MM CABLE LADDER HDG EQUAL TEE,NOS,5,97.83,489.15
12,750X100 MM CABLE LADDER HDG 90 DEGREE BEND,NOS,5,74.54,372.70000000000005
13,750X100 MM CABLE LADDER HDG 45 DEGREE BEND,NOS,5,55.9,279.5
14,750X100 MM CABLE LADDER HDG EQUAL TEE,NOS,5,87.84,439.20000000000005
15,600X100 MM CABLE LADDER HDG 90 DEGREE BEND,NOS,5,46.589999999999996,232.95
16,600X100 MM CABLE LADDER HDG 45 DEGREE BEND,NOS,5,36.6,183
17,600X100 MM CABLE LADDER HDG EQUAL TEE,NOS,5,71.54,357.70000000000005
18,450X100 MM CABLE LADDER HDG 90 DEGREE BEND,NOS,20,39,780
19,450X100 MM CABLE LADDER HDG 45 DEGREE BEND,NOS,20,29.220000000000002,584.4000000000001
20,450X100 MM CABLE LADDER HDG EQUAL TEE,NOS,20,60.83,1216.6
21,300X100 MM CABLE LADDER HDG 90 DEGREE BEND,NOS,20,31.28,625.6
22,300X100 MM CABLE LADDER HDG 45 DEGREE BEND,NOS,20,23.3,466
23,300X100 MM CABLE LADDER HDG EQUAL TEE,NOS,20,50.05,1001
24,225X100 MM CABLE LADDER HDG 90 DEGREE BEND,NOS,20,28.290000000000003,565.8000000000001
