SL.NO,DESCRIPTION,UOM,QUANTITY,UNIT PRICE AED,TOTAL PRICE AED
1,"CABLE TRAY 900X50MM, 2.0MM THK, 3 MTR LTH -HDG",LTHS,119,416.628,49578.732
2,"CABLE TRAY 750X50MM, 2.0MM THK, 3 MTR LTH -HDG",LTHS,77,354.936,27330.072
3,"CABLE TRAY 600X50MM, 2.0MM THK, 3 MTR LTH -HDG",LTHS,111,293.244,32550.084
4,"CABLE TRAY 450X50MM, 2.0MM THK, 3 MTR LTH -HDG",LTHS,271,231.552,62750.592
5,"CABLE TRAY 300X50MM, 1.5MM THK, 3 MTR LTH -HDG",LTHS,786,131.22,103138.92
6,"CABLE TRAY 225X50MM, 1.5MM THK, 3 MTR LTH -HDG",LTHS,560,107.388,60137.28
7,"CABLE TRAY 200X50MM, 1.5MM THK, 3 MTR LTH -HDG",LTHS,10,99.444,994.44
8,"CABLE TRAY 150X50MM, 1.5MM THK, 3 MTR LTH -HDG",LTHS,1000,83.568,83568
9,"CABLE TRAY 100X50MM, 1.5MM THK, 3 MTR LTH -HDG",LTHS,900,67.668,60901.2
10,"COVER FOR 900MM CABLE TRAY, 2.0MM THK, 3 MTR LTH - HDG",LTHS,7,366.012,2562.084
11,"COVER FOR 750MM CABLE TRAY, 2.0MM THK, 3 MTR LTH - HDG",LTHS,4,306.78,1227.12
12,"COVER FOR 600MM CABLE TRAY, 2.0MM THK, 3 MTR LTH - HDG",LTHS,11,249.624,2745.864

13,"COVER FOR 450MM CABLE TRAY, 2.0MM THK, 3 MTR LTH - HDG",LTHS,5,193.032,965.16
14,"COVER FOR 300MM CABLE TRAY, 1.5MM THK, 3 MTR LTH - HDG",LTHS,44,103.896,4571.424
15,"COVER FOR 225MM CABLE TRAY, 1.5MM THK, 3 MTR LTH - HDG",LTHS,38,80.064,3042.432
16,"COVER FOR 200MM CABLE TRAY, 1.5MM THK, 3 MTR LTH - HDG",LTHS,2,72.12,144.24
17,"COVER FOR 150MM CABLE TRAY, 1.5MM THK, 3 MTR LTH - HDG",LTHS,19,57.132,1085.508
18,"COVER FOR 100MM CABLE TRAY, 1.5MM THK, 3 MTR LTH - HDG",LTHS,204,41.964,8560.656
19,CLOSED COVER FIXING BRACKET - HDG C/W HWRS. (SETS OFROOFING BOLT M6X16MM C/W NUT -EG &PAN HEAD PHLIPS SELF TAPPING SCREW 5.5MM X 1/2 INCH -SS304),NOS,2004,1.98,3967.92
20,"FLAT BEND 90° FOR 900X50MM CABLE TRAY, 2.0MM THK -HDG",NOS,10,255.984,2559.84
21,"FLAT BEND 90° FOR 750X50MM CABLE TRAY, 2.0MM THK -HDG",NOS,10,192.036,1920.36
22,"FLAT BEND 90° FOR 600X50MM CABLE TRAY, 2.0MM THK -HDG",NOS,10,134.304,1343.04
23,"FLAT BEND 90° FOR 450X50MM CABLE TRAY, 2.0MM THK -HDG",NOS,10,89.856,898.56
24,"FLAT BEND 90° FOR 300X50MM CABLE TRAY, 1.5MM THK -HDG",NOS,10,42.588,425.88
25,"FLAT BEND 90° FOR 225X50MM CABLE TRAY, 1.5MM THK -HDG",NOS,10,31.224,312.24
26,"FLAT BEND 90° FOR 200X50MM CABLE TRAY, 1.5MM THK -HDG",NOS,10,28.98,289.8
27,"FLAT BEND 90° FOR 150X50MM CABLE TRAY, 1.5MM THK -HDG",NOS,10,23.88,238.8
28,"FLAT BEND 90° FOR 100X50MM CABLE TRAY, 1.5MM THK -HDG",NOS,10,18.012,180.12
29,"FLAT BEND 45° FOR 450X50MM CABLE TRAY, 2.0MM THK -HDG",NOS,10,151.44,1514.4

30,"FLAT BEND 45° FOR 750X50MM CABLE TRAY, 2.0MM THK -HDG",NOS,10,115.908,1159.08
31,"FLAT BEND 45° FOR 600X50MM CABLE TRAY, 2.0MM THK -HDG",NOS,10,84.9,849
32,"FLAT BEND 45° FOR 450X50MM CABLE TRAY, 2.0MM THK -HDG",NOS,10,61.128,611.28
33,"FLAT BEND 45° FOR 300X50MM CABLE TRAY, 1.5MM THK -HDG",NOS,10,30.588,305.88
34,"FLAT BEND 45° FOR 225X50MM CABLE TRAY, 1.5MM THK -HDG",NOS,10,22.968,229.68
35,"FLAT BEND 45° FOR 200X50MM CABLE TRAY, 1.5MM THK -HDG",NOS,10,21.024,210.24
36,"FLAT BEND 45° FOR 150X50MM CABLE TRAY, 1.5MM THK -HDG",NOS,10,20.388,203.88
37,"FLAT BEND 45° FOR 100X50MM CABLE TRAY, 1.5MM THK -HDG",NOS,10,16.824,168.24
38,"EQUAL TEE FOR 900X50MM CABLE TRAY, 2.0MM THK -HDG",NOS,10,249.588,2495.88
39,"EQUAL TEE FOR 750X50MM CABLE TRAY, 2.0MM THK -HDG",NOS,10,195.996,1959.96
40,"EQUAL TEE FOR 600X50MM CABLE TRAY, 2.0MM THK -HDG",NOS,10,148.848,1488.48
41,"EQUAL TEE FOR 450X50MM CABLE TRAY, 2.0MM THK -HDG",NOS,10,102.768,1027.68
42,"EQUAL TEE FOR 300X50MM CABLE TRAY, 1.5MM THK -HDG",NOS,10,48.72,487.2
43,"EQUAL TEE FOR 225X50MM CABLE TRAY, 1.5MM THK -HDG",NOS,10,36.864,368.64
44,"EQUAL TEE FOR 200X50MM CABLE TRAY, 1.5MM THK -HDG",NOS,10,34.284,342.84
45,"EQUAL TEE FOR 150X50MM CABLE TRAY, 1.5MM THK -HDG",NOS,10,28.86,288.6
46,"EQUAL TEE FOR 100X50MM CABLE TRAY, 1.5MM THK -HDG",NOS,10,23.7,237
47,"UNEQUAL TEE FOR 900X50-900X50-750X50MM CABLE TRAY, 2.0MM THK -HDG",NOS,20,249.588,4991.76

48,"UNEQUAL TEE FOR 750X50-750X50-600X50MM CABLE TRAY, 2.0MM THK -HDG",NOS,20,195.996,3919.92
49,"UNEQUAL TEE FOR 600X50-600X50-450X50MM CABLE TRAY, 2.0MM THK -HDG",NOS,20,148.848,2976.96
50,"UNEQUAL TEE FOR 450X50-450X50-300X50MM CABLE TRAY, 2.0MM THK -HDG",NOS,20,102.768,2055.36
51,"UNEQUAL TEE FOR 300X50-300X50-225X50MM CABLE TRAY, 1.5MM THK -HDG",NOS,20,48.72,974.4
52,"UNEQUAL TEE FOR 225X50-225X50-150X50MM CABLE TRAY, 1.5MM THK -HDG",NOS,20,36.864,737.28
53,"UNEQUAL TEE FOR 150X50-150X50-100X50MM CABLE TRAY, 1.5MM THK -HDG",NOS,20,28.86,577.2
54,"STRAIGHT REDUCER FOR 900X50-750X50MM CABLE TRAY, 2.0MM THK - HDG",NOS,10,60.876,608.76
55,"STRAIGHT REDUCER FOR 750X50-600X50MM CABLE TRAY, 2.0MM THK HDG",NOS,10,53.916,539.16
56,"STRAIGHT REDUCER FOR 600X50-450X50MM CABLE TRAY, 2.0MM THK HDG",NOS,10,47.904,479.04
57,"STRAIGHT REDUCER FOR 450X50-300X50MM CABLE TRAY, 2.0MM THK HDG",NOS,10,44.04,440.4
58,"STRAIGHT REDUCER FOR 300X50-225X50MM CABLE TRAY, 1.5MM THK - HDG",NOS,10,26.772,267.72

59,"STRAIGHT REDUCER FOR 225X50-150X50MM CABLE TRAY, 1.5MM THK - HDG",NOS,10,22.8,228
60,"STRAIGHT REDUCER FOR 150X50-100X50MM CABLE TRAY, 1.5MM THK - HDG",NOS,10,17.808,178.08
61,"INSIDE RISER 90° FOR 900X50MM CABLE TRAY, 2.0MM THK -HDG",NOS,10,86.52,865.2
62,"INSIDE RISER 90° FOR 750X50MM CABLE TRAY, 2.0MM THK -HDG",NOS,10,75.36,753.6
63,"INSIDE RISER 90° FOR 600X50MM CABLE TRAY, 2.0MM THK -HDG",NOS,10,64.2,642
64,"INSIDE RISER 90° FOR 450X50MM CABLE TRAY, 2.0MM THK -HDG",NOS,10,52.824,528.24
65,"INSIDE RISER 90° FOR 300X50MM CABLE TRAY, 1.5MM THK -HDG",NOS,10,36.42,364.2
66,"INSIDE RISER 90° FOR 225X50MM CABLE TRAY, 1.5MM THK -HDG",NOS,10,32.136,321.36
67,"INSIDE RISER 90° FOR 200X50MM CABLE TRAY, 1.5MM THK -HDG",NOS,10,31.128,311.28
68,"INSIDE RISER 90° FOR 150X50MM CABLE TRAY, 1.5MM THK -HDG",NOS,10,28.248,282.48
69,"INSIDE RISER 90° FOR 100X50MM CABLE TRAY, 1.5MM THK -HDG",NOS,10,24.66,246.6
70,"OUTSIDE RISER 90° FOR 900X50MM CABLE TRAY, 2.0MM THK -HDG",NOS,10,75.36,753.6
71,"OUTSIDE RISER 90° FOR 750X50MM CABLE TRAY, 2.0MM THK -HDG",NOS,10,66.084,660.84
72,"OUTSIDE RISER 90° FOR 600X50MM CABLE TRAY, 2.0MM THK -HDG",NOS,10,56.688,566.88
73,"OUTSIDE RISER 90° FOR 450X50MM CABLE TRAY, 2.0MM THK -HDG",NOS,10,47.124,471.24
74,"OUTSIDE RISER 90° FOR 300X50MM CABLE TRAY, 1.5MM THK -HDG",NOS,10,33.12,331.2
75,"OUTSIDE RISER 90° FOR 225X50MM CABLE TRAY, 1.5MM THK -HDG",NOS,10,30.312,303.12

76,"OUTSIDE RISER 90° FOR 200X50MM CABLE TRAY, 1.5MM THK -HDG",NOS,10,29.484,294.84
77,"OUTSIDE RISER 90° FOR 150X50MM CABLE TRAY, 1.5MM THK -HDG",NOS,10,26.496,264.96
78,"OUTSIDE RISER 90° FOR 100X50MM CABLE TRAY, 1.5MM THK -HDG",NOS,10,23.508,235.08
79,"OUTSIDE RISER 90° FOR 75X50MM CABLE TRAY, 1.5MM THK -HDG",NOS,10,22.008,220.08
80,"OUTSIDE RISER 90° FOR 50X50MM CABLE TRAY, 1.5MM THK -HDG",NOS,10,20.52,205.2
81,"ADD ON BRANCH TEE FOR 900X50MM CABLE TRAY, 2.0MM THK -HDG",NOS,20,61.272,1225.44
82,"ADD ON BRANCH TEE FOR 750X50MM CABLE TRAY, 2.0MM THK -HDG",NOS,20,53.196,1063.92
83,"ADD ON BRANCH TEE FOR 600X50MM CABLE TRAY, 2.0MM THK -HDG",NOS,20,45.144,902.88
84,"ADD ON BRANCH TEE FOR 450X50MM CABLE TRAY, 2.0MM THK -HDG",NOS,20,39.192,783.84
85,"ADD ON BRANCH TEE FOR 300X50MM CABLE TRAY, 1.5MM THK -HDG",NOS,20,25.62,512.4
86,"ADD ON BRANCH TEE FOR 225X50MM CABLE TRAY, 1.5MM THK -HDG",NOS,20,22.056,441.12
87,"ADD ON BRANCH TEE FOR 150X50MM CABLE TRAY, 1.5MM THK -HDG",NOS,20,18.504,370.08
88,"ADD ON BRANCH TEE FOR 100X50MM CABLE TRAY, 1.5MM THK -HDG",NOS,20,16.944,338.88
89,"FISH PLATE FOR 900MM CABLE TRAY, 2.0MM THK -HDG W/O HWRS.",NOS,50,16.188,809.4
90,"FISH PLATE FOR 750MM CABLE TRAY, 2.0MM THK -HDG W/O HWRS.",NOS,50,14.7,735
91,"FISH PLATE FOR 600MM CABLE TRAY, 2.0MM THK -HDG W/O HWRS.",NOS,50,12.72,636
92,"FISH PLATE FOR 450MM CABLE TRAY, 2.0MM THK -HDG W/O HWRS.",NOS,50,10.728,536.4
93,"FISH PLATE FOR 300MM CABLE TRAY, 1.5MM THK -HDG W/O HWRS.",NOS,50,7.5,375
94,"FISH PLATE FOR 225MM CABLE TRAY, 1.5MM THK -HDG W/O HWRS.",NOS,50,6.528,326.4

95,"FISH PLATE FOR 150MM CABLE TRAY, 1.5MM THK -HDG W/O HWRS.",NOS,50,5.532,276.6
96,"FISH PLATE FOR 100MM CABLE TRAY, 1.5MM THK -HDG W/O HWRS.",NOS,50,4.032,201.6
97,"ROOFING BOLT M6X16MM C/W NUT, FLAT WASHER -EG(FOR FISH PLATE)",NOS,2200,0.204,448.8
98,CABLE TRAY FLANGE(NEED MORE DETAILS),NOS,100,0,0
99,CABLE TRAY END CAP(PROVIDE WIDTH),NOS,100,0,0
100,STRAIGHT COUPLER FOR 50MM(H) CABLE TRAY - HDG W/O HWRS.,NOS,10000,2.388,23880
101,WRAPOVER COUPLER FOR 50MM(H) CABLE TRAY - HDG W/O HWRS.,NOS,1000,3.684,3684
102,EARTH BRAID 6MM² X 100MM WITH 6MM END LUGS,NOS,20000,1.152,23040
103,EXPANSION COUPLER FOR 50MM(H) CABLE TRAY HDG W/O HWRS.,NOS,100,2.46,246
104,"ROOFING BOLT M6X16MM C/W NUT, FLAT WASHER -EG",NOS,44400,0.204,9057.6
105,"GI TRUNKING 150X150X1.5MM THK. X 3 MTR. LTH. C/W COVER, COUPLER",NOS,50,167.184,8359.2
106,"GI TRUNKING 100X100X1.2MM THK. X 3 MTR. LTH. C/W COVER, COUPLER",NOS,100,95.484,9548.4
107,"GI TRUNKING 75X75X1.0MM THK. X 3 MTR. LTH. C/W COVER, COUPLER",NOS,20,64.404,1288.08
108,"GI TRUNKING 50X50X1.0MM THK. X 3 MTR. LTH. C/W COVER, COUPLER",NOS,50,46.68,2334
109,"TOP LID TEE FOR 150X150MM GI TRUNKING, 1.5MM THK.",NOS,20,30.576,611.52
110,"TOP LID TEE FOR 100X100MM GI TRUNKING, 1.2MM THK.",NOS,20,21.3,426
111,"TOP LID TEE FOR 75X75MM GI TRUNKING, 1.0MM THK.",NOS,20,15.54,310.8

112,"TOP LID TEE FOR 50X50MM GI TRUNKING, 1.0MM THK.",NOS,20,12.588,251.76
113,"TOP LID TEE FOR 150X150MM GI TRUNKING, 1.5MM THK.",NOS,20,30.576,611.52
114,"TOP LID TEE FOR 100X100MM GI TRUNKING, 1.2MM THK.",NOS,20,21.3,426
115,"TOP LID TEE FOR 75X75MM GI TRUNKING, 1.0MM THK.",NOS,20,15.54,310.8
116,"TOP LID TEE FOR 50X50MM GI TRUNKING, 1.0MM THK.",NOS,20,12.588,251.76
117,"45° TOP LID BEND FOR 150X150MM GI TRUNKING, 1.5MM THK.",NOS,20,27.048,540.96
118,"45° TOP LID BEND FOR 100X100MM GI TRUNKING, 1.2MM THK.",NOS,20,18.648,372.96
119,"45° TOP LID BEND FOR 75X75MM GI TRUNKING, 1.0MM THK.",NOS,20,12.708,254.16
120,"45° TOP LID BEND FOR 50X50MM GI TRUNKING, 1.0MM THK.",NOS,20,10.356,207.12
121,"90° TOP LID BEND FOR 150X150MM GI TRUNKING, 1.5MM THK.",NOS,20,29.88,597.6
122,"90° TOP LID BEND FOR 100X100MM GI TRUNKING, 1.2MM THK.",NOS,20,20.064,401.28
123,"90° TOP LID BEND FOR 75X75MM GI TRUNKING, 1.0MM THK.",NOS,20,14.304,286.08
124,"90° TOP LID BEND FOR 50X50MM GI TRUNKING, 1.0MM THK.",NOS,20,11.136,222.72
125,"REDUCER FOR 150X150 100X100MM GI TRUNKING, 1.5MM THK.",NOS,20,29.82,596.4
126,"REDUCER FOR 150X100 - 100X100MM GI TRUNKING, 1.2MM THK.",NOS,20,25.164,503.28
127,"REDUCER FOR 100X100 50X50MM GI TRUNKING, 1.2MM THK.",NOS,20,21.48,429.6
128,"REDUCER FOR 75X75 50X50MM GI TRUNKING, 1.0MM THK.",NOS,20,17.652,353.04
129,"REDUCER FOR 100X100 - 75X75MM GI TRUNKING, 1.2MM THK.",NOS,20,22.008,440.16

130,"UN EQUAL TEE TOP LID FOR 150X150-150X150-100X100MM GI TRUNKING, 1.5MM THK. PG",NOS,20,59.124,1182.48
131,"UN EQUAL TEE TOP LID FOR 100X100-100X100-50X50MM TRUNKING, 1.2MM THK. PG",NOS,20,48.288,965.76
132,"UN EQUAL TEE TOP LID FOR 75X75-75X75-50X50MM TRUNKING, 1.0MM THK. PG",NOS,20,28.824,576.48
133,"UN EQUAL TEE TOP LID FOR 100X100-50X50-50X50MM TRUNKING, 1.2MM THK. PG",NOS,20,48.288,965.76
134,"UN EQUAL TEE TOP LID FOR 100X100-100X100-75X75MM TRUNKING, 1.2MM THK. PG",NOS,20,43.896,877.92
135,150X150X100X100 SQUARE TEE (Need more details),NOS,20,0,0
136,150X150X150X100 SQUARE TEE (Need more details),NOS,20,0,0
137,"COUPLER FOR 50X50MM GI TRUNKING, 1.0MM THK.",NOS,20,1.284,25.68
138,"COUPLER FOR 75X75MM GI TRUNKING, 1.0MM THK.",NOS,1500,1.464,2196
139,"COUPLER FOR 100X100MM GI TRUNKING, 1.2MM THK.",NOS,1500,1.848,2772
140,"COUPLER FOR 150X150MM GI TRUNKING, 1.5MM THK.",NOS,1500,2.712,4068
141,"EXPANSION COUPLER FOR 150X150MM GI TRUNKING, 1.5MM THK.",NOS,20,18.336,366.72
142,"EXPANSION COUPLER FOR 100X100MM GI TRUNKING, 1.2MM THK.",NOS,20,14.172,283.44
143,"EXPANSION COUPLER FOR 75X75MM GI TRUNKING, 1.0MM THK.",NOS,20,13.008,260.16

144,"EXPANSION COUPLER FOR 50X50MM GI TRUNKING, 1.0MM THK.",NOS,100,11.52,1152
145,PAN HEAD MACHINE SCREW M5X10MM C/W NUT -NICKLE PLATTING,NOS,19600,0.156,3057.6
,GROSS TOTAL AED,,,,"678,110.928"
,VAT 5%,,,,"33,905.54"
,NET TOTAL AED,,,,"712,016.47"

PAYMENT TERMS,"50% ADVANCE WITH PO, BALANCE 50% BEFORE DELIVERY"
DELIVERY,2-3 WEEKS
VALIDITY,30 DAYS
SL.NO,"ITEM 98,99,135,136 NEEDS FURTHER CLARIFICATION TO QUOTE SPECIFICALLY"
VAT,VAT 5% IS APPLICABLE ON TAX INVOICE
