Date,15/6/2023
Quotation No.,RC/CMS/062023/142
Project,PT-295/4 INNOVATION HUB -PHASE 2
Currency,AED
Pages,1 of 1

To,: M/S ASEMCO
Address,: DUABI; UAE
Attention,: Mr. Ankit Bajpayee
Contact,: 971 56 539 1872
Email,:

"Dear Sir,",We thank,you for your inquiry and are pleased to submit our best price for,the,following items.,,
SL.NO,BRAND,DESCRIPTION,UNIT,QTY,PRICE,TOTAL PRICE
1,METAR,"900 MM CABLE TRAY HDG, 2.0 MM THICKNESS - 3 METER LENGTH",Lth,119.00,271.92,"32,358.48"
2,METAR,"750 MM CABLE TRAY HDG, 2.0 MM THICKNESS- 3 METER LENGTH",Lth,77.00,232.32,"17,888.64"
3,METAR,"600 MM CABLE TRAY HDG, 2.0 MM THICKNESS 3 METER LENGTH",Lth,111.00,192.72,"21,391.92"
4,METAR,"450 MM CABLE TRAY HDG, 2.0 MM THICKNESS - 3 METER LENGTH",Lth,271.00,153.12,"41,495.52"
5,METAR,"300 MM CABLE TRAY HDG, 1.5 MM THICKNESS- 3 METER LENGTH",Lth,786.00,85.14,"66,920.04"
6,METAR,"225 MM CABLE TRAY HDG, 1.5 MM THICKNESS- 3 METER LENGTH",Lth,560.00,70.29,"39,362.40"
7,METAR,"200 MM CABLE TRAY HDG, 1.5 MM THICKNESS- 3 METER LENGTH",Lth,10.00,65.34,653.40
8,METAR,"150 MM CABLE TRAY HDG, 1.5 MM THICKNESS- 3 METER LENGTH",Lth,1000.00,55.44,"55,440.00"
9,METAR,"100 MM CABLE TRAY HDG, 1.5 MM THICKNESS- 3 METER LENGTH",Lth,900.00,45.54,"40,986.00"
10,METAR,"900 MM CABLE TRAY COVER HDG,- 3 METER LENGTH- 1.5mm THICKNESS",Lth,7.00,184.14,"1,288.98"
11,METAR,"750 MM CABLE TRAY COVER HDG, - 3 METER LENGTH",Lth,4.00,174.24,696.96
12,METAR,"600 MM CABLE TRAY COVER HDG,- 3 METER LENGTH",Lth,11.00,124.74,"1,372.14"
13,METAR,"450 MM CABLE TRAY COVER HDG,- 3 METER LENGTH",Lth,5.00,95.04,475.20
14,METAR,"300 MM CABLE TRAY COVER HDG,- 3 METER LENGTH",Lth,44.00,52.27,"2,299.88"
15,METAR,"225 MM CABLE TRAY COVER HDG,- 3 METER LENGTH",Lth,38.00,40.39,"1,534.82"
16,METAR,"200 MM CABLE TRAY COVER HDG,- 3 METER LENGTH",Lth,2.00,36.43,72.86
