Item,Description,Unit,Qty.,Unit Price,Total Price AED
,HOT DIP GALVANIZED CABLE TRAY & ACCESSORIES (45- 55 MICRONS),,,,
1,TRAY 900X50X2.0MMX3MTR,LTH,119,228.00,"27,132.00"
2,TRAY 750X50X2.0MMX3MTR,LTH,77,195.00,"15,015.00"
3,TRAY 600X50X2.0MMX3MTR,LTH,111,162.00,"17,982.00"
4,TRAY 450X50X2.0MMX3MTR,LTH,271,125.00,"33,875.00"
5,TRAY 300X50X1.5MMX3MTR,LTH,786,74.00,"58,164.00"
6,TRAY 225X50X1.5MMX3MTR,LTH,560,61.00,"34,160.00"
7,TRAY 200X50X1.5MMX3MTR,LTH,10,57.00,570.00
8,TRAY 150X50X1.5MMX3MTR,LTH,1000,47.00,"47,000.00"
9,TRAY 100X50X1.5MMX3MTR,LTH,900,39.00,"35,100.00"
10,TRAY VENTILATED COVER 900X15X2.0MMX3MTR,LTH,7,233.00,"1,631.00"
11,TRAY VENTILATED COVER 750X15X2.0MMX3MTR,LTH,4,196.00,784.00
12,TRAY VENTILATED COVER 600X15X2.0MMX3MTR,LTH,11,158.00,"1,738.00"
13,TRAY VENTILATED COVER 450X15X2.0MMX3MTR,LTH,5,121.00,605.00
14,TRAY VENTILATED COVER 300X15X1.5MMX3MTR,LTH,44,65.00,"2,860.00"
15,TRAY VENTILATED COVER 225X15X1.5MMX3MTR,LTH,38,51.00,"1,938.00"
16,TRAY VENTILATED COVER 200X15X1.5MMX3MTR,LTH,2,46.00,92.00
17,TRAY VENTILATED COVER 150X15X1.5MMX3MTR,LTH,19,36.00,684.00

Item,Description,Unit,Qty.,Unit Price,Total Price AED
18,TRAY VENTILATED COVER 100X15X1.5MMX3MTR,LTH,204,27.00,"5,508.00"
19,TRAY 90 DEG BEND 900X50X2.0MM,NOS,10,98.00,980.00
20,TRAY 90 DEG BEND 750X50X2.0MM,NOS,10,84.00,840.00
21,TRAY 90 DEG BEND 600X50X2.0MM,NOS,10,70.00,700.00
22,TRAY 90 DEG BEND 450X50X2.0MM,NOS,10,55.00,550.00
23,TRAY 90 DEG BEND 300X50X1.5MM,NOS,10,32.00,320.00
24,TRAY 90 DEG BEND 225X50X1.5MM,NOS,10,27.00,270.00
25,TRAY 90 DEG BEND 200X50X1.5MM,NOS,10,25.00,250.00
26,TRAY 90 DEG BEND 150X50X1.5MM,NOS,10,21.00,210.00
27,TRAY 90 DEG BEND 100X50X1.5MM,NOS,10,17.00,170.00
28,TRAY 45 DEG BEND 900X50X2.0MM,NOS,10,98.00,980.00
29,TRAY 45 DEG BEND 750X50X2.0MM,NOS,10,84.00,840.00
