BOQ Sr.No,BOQ Description,BOQ Qty,BOQ UOM,BOQ Item Type,BOQ Dimensions,BOQ Material,,Vendor Description,Vendor Qty,Vendor UOM,Vendor Unit Price,Vendor Total Price,Vendor Brand,,Match Confidence,Match Status,Issues,LLM Reasoning
1,"900 MM CABLE TRAY HDG, 2.0 MM THICKNESS",119.0,Mtr,cable tray,"width:900mm, thickness:2.0mm, length:3m",HDG,,"900 MM CABLE TRAY HDG, 2.0 MM THICKNESS",119.0,Mtr/Lth,255.0,30345.0,,,1.00,✅ EXCELLENT,None,"This item is a cable tray made of Hot-Dip Galvanized (HDG) material. It has a width of 900mm and a thickness of 2.0mm. The quantity is 119 units, measured in meters or lengths."
2,"750 MM CABLE TRAY HDG, 2.0 MM THICKNESS",77.0,Mtr,cable tray,"width:750mm, thickness:2.0mm, length:3m",HDG,,"750 MM CABLE TRAY HDG, 2.0 MM THICKNESS",77.0,Mtr/Lth,218.0,16786.0,,,1.00,✅ EXCELLENT,None,"This item is a cable tray made of HDG (Hot Dip Galvanized) material. It has a width of 750mm and a thickness of 2.0mm. The quantity is 77 units, measured in meters or lengths."
3,"600 MM CABLE TRAY HDG, 2.0 MM THICKNESS",111.0,Mtr,cable tray,"width:600mm, thickness:2.0mm, length:3m",HDG,,"600 MM CABLE TRAY HDG, 2.0 MM THICKNESS",111.0,Mtr/Lth,181.0,20091.0,,,1.00,✅ EXCELLENT,None,"This item is a cable tray made of HDG (Hot-Dip Galvanized) material. It has a width of 600mm and a thickness of 2.0mm. The quantity is 111 units, measured in meters or lengths."
4,"450 MM CABLE TRAY HDG, 2.0 MM THICKNESS",271.0,Mtr,cable tray,"width:450mm, thickness:2.0mm, length:3m",HDG,,"450 MM CABLE TRAY HDG, 2.0 MM THICKNESS",271.0,Mtr/Lth,144.0,39024.0,,,1.00,✅ EXCELLENT,None,"This item is a cable tray made of HDG (Hot-Dip Galvanized) material. It has a width of 450mm and a thickness of 2.0mm. The quantity is 271 units, measured in meters or lengths."
5,"300 MM CABLE TRAY HDG, 1.5 MM THICKNESS",786.0,Mtr,cable tray,"width:300mm, thickness:1.5mm, length:3m",HDG,,"300 MM CABLE TRAY HDG, 1.5 MM THICKNESS",786.0,Mtr/Lth,83.0,65238.0,,,1.00,✅ EXCELLENT,None,"This item is a cable tray with a width of 300mm and thickness of 1.5mm, made of HDG (Hot-Dip Galvanized) material. It's used for organizing and supporting electrical cables in various installations."
6,"225 MM CABLE TRAY HDG, 1.5 MM THICKNESS",560.0,Mtr,cable tray,"width:225mm, thickness:1.5mm, length:3m",HDG,,"225 MM CABLE TRAY HDG, 1.5 MM THICKNESS",560.0,Mtr/Lth,68.0,38080.0,,,1.00,✅ EXCELLENT,None,"This item is a cable tray made of HDG (Hot-Dip Galvanized) material. It has a width of 225mm and a thickness of 1.5mm. The quantity is 560 units, measured in meters or lengths."
7,"200 MM CABLE TRAY HDG, 1.5 MM THICKNESS",10.0,Mtr,cable tray,"width:200mm, thickness:1.5mm, length:3m",HDG,,"200 MM CABLE TRAY HDG, 1.5 MM THICKNESS",10.0,Mtr/Lth,63.0,630.0,,,1.00,✅ EXCELLENT,None,"This item is a cable tray made of HDG (Hot Dip Galvanized) material. It has a width of 200mm and a thickness of 1.5mm. The quantity is 10 units, measured in meters or lengths."
8,"150 MM CABLE TRAY HDG, 1.5 MM THICKNESS",1000.0,Mtr,cable tray,"width:150mm, thickness:1.5mm, length:3m",HDG,,"150 MM CABLE TRAY HDG, 1.5 MM THICKNESS",1000.0,Mtr,54.0,54000.0,,,1.00,✅ EXCELLENT,None,"This item is a cable tray made of HDG (Hot Dip Galvanized) material. It has a width of 150mm and a thickness of 1.5mm. The quantity is 1000 meters or lengths, with a unit price of 54.00 and a total price of 54,000.00."
9,"100 MM CABLE TRAY HDG, 1.5 MM THICKNESS",900.0,Mtr,cable tray,"width:100mm, thickness:1.5mm, length:3m",HDG,,"100 MM CABLE TRAY HDG, 1.5 MM THICKNESS",900.0,Mtr/Lth,44.0,39600.0,,,1.00,✅ EXCELLENT,None,"This item is a cable tray made of HDG (Hot Dip Galvanized) material. It has a width of 100mm and a thickness of 1.5mm. The quantity is 900 meters or lengths, with a unit price of 44.00 and a total price of 39,600.00."
10,"900 MM CABLE TRAY COVER HDG,",7.0,Lth,cable tray cover,"width:900mm, length:3m",HDG,,"900 MM CABLE TRAY COVER HDG,",7.0,Mtr/Lth,232.0,1624.0,,,1.00,✅ EXCELLENT,None,"This item is a 900mm wide cable tray cover made of HDG (Hot-Dip Galvanized) material. It's a protective cover for cable trays, likely used in industrial or commercial electrical installations."
11,"750 MM CABLE TRAY COVER  HDG,",4.0,Lth,cable tray cover,"width:750mm, length:3m",HDG,,"750 MM CABLE TRAY COVER HDG,",4.0,Mtr/Lth,195.0,780.0,,,1.00,✅ EXCELLENT,None,"This item is a cable tray cover with a width of 750mm, made of HDG (Hot-Dip Galvanized) material. It is sold in units of meters or lengths, with a quantity of 4 units ordered."
12,"600 MM CABLE TRAY COVER HDG,",11.0,Lth,cable tray cover,"width:600mm, length:3m",HDG,,"600 MM CABLE TRAY COVER HDG,",11.0,Mtr/Lth,157.0,1727.0,,,1.00,✅ EXCELLENT,None,"This item is a cable tray cover with a width of 600mm, made of HDG (Hot-Dip Galvanized) material. It's used to protect cables in cable trays."
13,"450 MM CABLE TRAY COVER HDG,",5.0,Lth,cable tray cover,"width:450mm, length:3m",HDG,,"450 MM CABLE TRAY COVER HDG,",5.0,Mtr/Lth,120.0,600.0,,,1.00,✅ EXCELLENT,None,This item is a cable tray cover made of HDG (Hot-Dip Galvanized) material with a width of 450mm. It's used to protect cables in cable trays.
14,"300 MM CABLE TRAY COVER HDG,",44.0,Lth,cable tray cover,"width:300mm, length:3m",HDG,,"300 MM CABLE TRAY COVER HDG,",44.0,Mtr/Lth,64.0,2816.0,,,1.00,✅ EXCELLENT,None,"This item is a 300mm wide cable tray cover made of HDG (Hot-Dip Galvanized) material. It's a protective cover for cable trays, used in electrical installations to protect cables and provide a clean appearance."
15,"225 MM CABLE TRAY COVER HDG,",38.0,Lth,cable tray cover,"width:225mm, length:3m",HDG,,"225 MM CABLE TRAY COVER HDG,",38.0,Mtr/Lth,50.0,1900.0,,,1.00,✅ EXCELLENT,None,"This item is a cable tray cover with a width of 225mm, made of HDG (Hot-Dip Galvanized) material. It's used to protect cables in cable trays."
16,"200 MM CABLE TRAY COVER HDG,",2.0,Lth,cable tray cover,"width:200mm, length:3m",HDG,,"200 MM CABLE TRAY COVER HDG,",2.0,Mtr/Lth,45.0,90.0,,,1.00,✅ EXCELLENT,None,This item is a 200mm wide cable tray cover made of HDG (Hot-Dip Galvanized) material. It's used to protect cables in cable trays from debris and environmental factors.
17,"150 MM CABLE TRAY COVER HDG,",19.0,Lth,cable tray cover,"width:150mm, length:3m",HDG,,"150 MM CABLE TRAY COVER HDG,",19.0,Mtr/Lth,35.0,665.0,,,1.00,✅ EXCELLENT,None,"This item is a 150mm wide cable tray cover made of HDG (Hot-Dip Galvanized) material. It's a protective covering for cable trays, used to shield cables from environmental factors and physical damage."
18,"100 MM CABLE TRAY COVER HDG,",204.0,Mtr,cable tray cover,"width:100mm, length:3m",HDG,,"100 MM CABLE TRAY COVER HDG,",204.0,Mtr/Lth,26.0,5304.0,,,1.00,✅ EXCELLENT,None,This item is a 100mm wide cable tray cover made of HDG (Hot-Dip Galvanized) material. It's a component used to protect cables in cable management systems.
