BOQ Sr.No,BOQ Description,BOQ Qty,BOQ UOM,BOQ Item Type,BOQ Dimensions,BOQ Material,,Vendor Description,Vendor Qty,Vendor UOM,Vendor Unit Price,Vendor Total Price,Vendor Brand,,Match Confidence,Match Status,Issues,LLM Reasoning
1,"900 MM CABLE TRAY HDG, 2.0 MM THICKNESS",119.0,Mtr,cable tray,"width:900mm, thickness:2.0mm, length:3m",HDG,,"CABLE TRAY 900X50MM, 2.0MM THK, 3 MTR LTH -HDG",119.0,LTHS,416.628,49578.732,,,0.85,✅ EXCELLENT,"UOM mismatch: BOQ=Mtr, Vendor=LTHS","This item is a cable tray used for organizing and supporting electrical cables. It has specific dimensions, is made of HDG (Hot-Dip Galvanized) material for corrosion resistance, and comes in 3-meter lengths."
2,"750 MM CABLE TRAY HDG, 2.0 MM THICKNESS",77.0,Mtr,cable tray,"width:750mm, thickness:2.0mm, length:3m",HDG,,"CABLE TRAY 750X50MM, 2.0MM THK, 3 MTR LTH -HDG",77.0,LTHS,354.936,27330.072,,,0.85,✅ EXCELLENT,"UOM mismatch: BOQ=Mtr, Vendor=LTHS",This item is a cable tray used for organizing and supporting electrical cables. It is made of hot-dip galvanized (HDG) material for corrosion resistance. The tray has specific dimensions and is sold in 3-meter lengths.
3,"600 MM CABLE TRAY HDG, 2.0 MM THICKNESS",111.0,Mtr,cable tray,"width:600mm, thickness:2.0mm, length:3m",HDG,,"CABLE TRAY 600X50MM, 2.0MM THK, 3 MTR LTH -HDG",111.0,LTHS,293.244,32550.084,,,0.85,✅ EXCELLENT,"UOM mismatch: BOQ=Mtr, Vendor=LTHS","This item is a cable tray used for organizing and supporting electrical cables. It has specific dimensions, is made of HDG (Hot-Dip Galvanized) material for corrosion resistance, and comes in 3-meter lengths."
4,"450 MM CABLE TRAY HDG, 2.0 MM THICKNESS",271.0,Mtr,cable tray,"width:450mm, thickness:2.0mm, length:3m",HDG,,"CABLE TRAY 450X50MM, 2.0MM THK, 3 MTR LTH -HDG",271.0,LTHS,231.552,62750.592,,,0.85,✅ EXCELLENT,"UOM mismatch: BOQ=Mtr, Vendor=LTHS","This item is a cable tray used for organizing and supporting electrical cables. It has specific dimensions, is made of HDG (Hot-Dip Galvanized) material for corrosion resistance, and comes in 3-meter lengths."
5,"300 MM CABLE TRAY HDG, 1.5 MM THICKNESS",786.0,Mtr,cable tray,"width:300mm, thickness:1.5mm, length:3m",HDG,,"CABLE TRAY 300X50MM, 1.5MM THK, 3 MTR LTH -HDG",786.0,LTHS,131.22,103138.92,,,0.85,✅ EXCELLENT,"UOM mismatch: BOQ=Mtr, Vendor=LTHS","This item is a cable tray used for organizing and supporting electrical cables. It has specific dimensions, is made of HDG (Hot-Dip Galvanized) material for corrosion resistance, and comes in 3-meter lengths."
6,"225 MM CABLE TRAY HDG, 1.5 MM THICKNESS",560.0,Mtr,cable tray,"width:225mm, thickness:1.5mm, length:3m",HDG,,"CABLE TRAY 225X50MM, 1.5MM THK, 3 MTR LTH -HDG",560.0,LTHS,107.388,60137.28,,,0.85,✅ EXCELLENT,"UOM mismatch: BOQ=Mtr, Vendor=LTHS",This item is a cable tray used for organizing and supporting electrical cables. It is made of hot-dip galvanized (HDG) material for corrosion resistance. The tray has specific dimensions and is sold in 3-meter lengths.
7,"200 MM CABLE TRAY HDG, 1.5 MM THICKNESS",10.0,Mtr,cable tray,"width:200mm, thickness:1.5mm, length:3m",HDG,,"CABLE TRAY 200X50MM, 1.5MM THK, 3 MTR LTH -HDG",10.0,LTHS,99.444,994.44,,,0.85,✅ EXCELLENT,"UOM mismatch: BOQ=Mtr, Vendor=LTHS","This item is a cable tray used for organizing and supporting electrical cables. It has specific dimensions, is made of HDG (Hot-Dip Galvanized) material for corrosion resistance, and comes in 3-meter lengths."
8,"150 MM CABLE TRAY HDG, 1.5 MM THICKNESS",1000.0,Mtr,cable tray,"width:150mm, thickness:1.5mm, length:3m",HDG,,"CABLE TRAY 150X50MM, 1.5MM THK, 3 MTR LTH -HDG",1000.0,LTHS,83.568,83568.0,,,0.85,✅ EXCELLENT,"UOM mismatch: BOQ=Mtr, Vendor=LTHS","This item is a cable tray used for organizing and supporting electrical cables. It has specific dimensions, is made of HDG (Hot-Dip Galvanized) material for corrosion resistance, and comes in 3-meter lengths."
9,"100 MM CABLE TRAY HDG, 1.5 MM THICKNESS",900.0,Mtr,cable tray,"width:100mm, thickness:1.5mm, length:3m",HDG,,"CABLE TRAY 100X50MM, 1.5MM THK, 3 MTR LTH -HDG",900.0,LTHS,67.668,60901.2,,,0.85,✅ EXCELLENT,"UOM mismatch: BOQ=Mtr, Vendor=LTHS","This item is a cable tray used for organizing and supporting electrical cables. It has specific dimensions, is made of HDG (Hot-Dip Galvanized) material for corrosion resistance, and is sold in lengths."
10,"900 MM CABLE TRAY COVER HDG,",7.0,Lth,cable tray cover,"width:900mm, length:3m",HDG,,"COVER FOR 900MM CABLE TRAY, 2.0MM THK, 3 MTR LTH - HDG",7.0,LTHS,366.012,2562.084,,,0.75,✓ GOOD,"Type mismatch: BOQ=cable tray cover, Vendor=cover","This item is a cover for a 900mm wide cable tray. It is made of HDG (Hot-Dip Galvanized) material, with a thickness of 2.0mm and a length of 3 meters. The cover is designed to protect the cables in the tray from external elements and provide a clean, finished appearance."
11,"750 MM CABLE TRAY COVER  HDG,",4.0,Lth,cable tray cover,"width:750mm, length:3m",HDG,,"COVER FOR 750MM CABLE TRAY, 2.0MM THK, 3 MTR LTH - HDG",4.0,LTHS,306.78,1227.12,,,0.75,✓ GOOD,"Type mismatch: BOQ=cable tray cover, Vendor=cover","This item is a cover for a cable tray. It is made of HDG (Hot-Dip Galvanized) material, designed to fit a 750mm wide cable tray. The cover is 2.0mm thick and comes in 3-meter lengths."
12,"600 MM CABLE TRAY COVER HDG,",11.0,Lth,cable tray cover,"width:600mm, length:3m",HDG,,"COVER FOR 600MM CABLE TRAY, 2.0MM THK, 3 MTR LTH - HDG",11.0,LTHS,249.624,2745.864,,,0.75,✓ GOOD,"Type mismatch: BOQ=cable tray cover, Vendor=cover","This item is a cover for a 600mm wide cable tray. It is made of HDG (Hot-Dip Galvanized) material, with a thickness of 2.0mm and a length of 3 meters."
13,"450 MM CABLE TRAY COVER HDG,",5.0,Lth,cable tray cover,"width:450mm, length:3m",HDG,,"COVER FOR 450MM CABLE TRAY, 2.0MM THK, 3 MTR LTH - HDG",5.0,LTHS,193.032,965.16,,,0.75,✓ GOOD,"Type mismatch: BOQ=cable tray cover, Vendor=cover","This item is a cover for a 450mm wide cable tray. It is made of HDG (Hot-Dip Galvanized) material, with a thickness of 2.0mm and a length of 3 meters."
14,"300 MM CABLE TRAY COVER HDG,",44.0,Lth,cable tray cover,"width:300mm, length:3m",HDG,,"COVER FOR 300MM CABLE TRAY, 1.5MM THK, 3 MTR LTH - HDG",44.0,LTHS,103.896,4571.424,,,0.75,✓ GOOD,"Type mismatch: BOQ=cable tray cover, Vendor=cover","This item is a cover for a 300mm wide cable tray. It is made of HDG (Hot-Dip Galvanized) material, with a thickness of 1.5mm and a length of 3 meters. The cover is designed to protect the cables in the tray from external elements and provide a clean, finished appearance."
15,"225 MM CABLE TRAY COVER HDG,",38.0,Lth,cable tray cover,"width:225mm, length:3m",HDG,,"COVER FOR 225MM CABLE TRAY, 1.5MM THK, 3 MTR LTH - HDG",38.0,LTHS,80.064,3042.432,,,0.75,✓ GOOD,"Type mismatch: BOQ=cable tray cover, Vendor=cover","This item is a cover for a cable tray. It is made of HDG (Hot-Dip Galvanized) material, designed to fit a 225mm wide cable tray. The cover itself is 1.5mm thick and comes in 3-meter lengths."
16,"200 MM CABLE TRAY COVER HDG,",2.0,Lth,cable tray cover,"width:200mm, length:3m",HDG,,"COVER FOR 200MM CABLE TRAY, 1.5MM THK, 3 MTR LTH - HDG",2.0,LTHS,72.12,144.24,,,0.75,✓ GOOD,"Type mismatch: BOQ=cable tray cover, Vendor=cover","This item is a cover for a 200mm wide cable tray. It is made of HDG (Hot-Dip Galvanized) material, with a thickness of 1.5mm and a length of 3 meters. The cover is designed to protect the cables in the tray from external elements and provide a clean, finished appearance to the cable management system."
17,"150 MM CABLE TRAY COVER HDG,",19.0,Lth,cable tray cover,"width:150mm, length:3m",HDG,,"COVER FOR 150MM CABLE TRAY, 1.5MM THK, 3 MTR LTH - HDG",19.0,LTHS,57.132,1085.508,,,0.75,✓ GOOD,"Type mismatch: BOQ=cable tray cover, Vendor=cover","This item is a cover for a cable tray. It is made of HDG (Hot-Dip Galvanized) material, designed to fit a 150mm wide cable tray. The cover is 1.5mm thick and comes in 3-meter lengths."
18,"100 MM CABLE TRAY COVER HDG,",204.0,Mtr,cable tray cover,"width:100mm, length:3m",HDG,,"COVER FOR 100MM CABLE TRAY, 1.5MM THK, 3 MTR LTH - HDG",204.0,LTHS,41.964,8560.656,,,0.65,✓ GOOD,"UOM mismatch: BOQ=Mtr, Vendor=LTHS; Type mismatch: BOQ=cable tray cover, Vendor=cover","This item is a cover for a 100mm cable tray. It is made of HDG (Hot-Dip Galvanized) material, with dimensions of 100mm width, 1.5mm thickness, and 3 meters length."
19,900 MM CABLE TRAY 90DEG BEND,10.0,NOS,bend,width:900mm,null,,"FLAT BEND 90° FOR 900X50MM CABLE TRAY, 2.0MM THK -HDG",10.0,NOS,255.984,2559.84,,,0.75,✓ GOOD,"Type mismatch: BOQ=bend, Vendor=Flat Bend",This item is a flat bend for a cable tray system. It's a 90-degree bend designed for a 900mm wide by 50mm high cable tray. The bend is made of 2.0mm thick hot-dip galvanized (HDG) material.
