BOQ Sr.No,BOQ Description,BOQ Qty,BOQ UOM,BOQ Item Type,BOQ Dimensions,BOQ Material,,Vendor Description,Vendor Qty,Vendor UOM,Vendor Unit Price,Vendor Total Price,Vendor Brand,,Match Confidence,Match Status,Issues,LLM Reasoning
1,"900 MM CABLE TRAY HDG, 2.0 MM THICKNESS",119.0,Mtr,cable tray,"width:900mm, thickness:2.0mm, length:3m",HDG,,"900 MM CABLE TRAY HDG, 2.0 MM THICKNESS - 3 METER LENGTH",119.0,Lth,271.92,32358.48,METAR,,0.85,✅ EXCELLENT,"UOM mismatch: BOQ=Mtr, Vendor=Lth","This item is a cable tray made by METAR. It is 900mm wide, 2.0mm thick, and 3 meters long. The material is HDG (Hot-Dip Galvanized), which provides corrosion resistance. It's sold by length (Lth) and the quantity ordered is 119 units."
2,"750 MM CABLE TRAY HDG, 2.0 MM THICKNESS",77.0,Mtr,cable tray,"width:750mm, thickness:2.0mm, length:3m",HDG,,"750 MM CABLE TRAY HDG, 2.0 MM THICKNESS- 3 METER LENGTH",77.0,Lth,232.32,17888.64,METAR,,0.85,✅ EXCELLENT,"UOM mismatch: BOQ=Mtr, Vendor=Lth","This item is a cable tray manufactured by METAR. It is made of HDG (Hot-Dip Galvanized) material, with dimensions of 750mm width, 2.0mm thickness, and 3 meters in length. The quantity ordered is 77 lengths, with a unit price of 232.32 and a total price of 17,888.64."
3,"600 MM CABLE TRAY HDG, 2.0 MM THICKNESS",111.0,Mtr,cable tray,"width:600mm, thickness:2.0mm, length:3m",HDG,,"600 MM CABLE TRAY HDG, 2.0 MM THICKNESS 3 METER LENGTH",111.0,Lth,192.72,21391.92,METAR,,0.85,✅ EXCELLENT,"UOM mismatch: BOQ=Mtr, Vendor=Lth","This item is a cable tray manufactured by METAR. It is made of HDG (Hot-Dip Galvanized) material, with dimensions of 600mm width, 2.0mm thickness, and 3 meters in length. The quantity ordered is 111 units, with a unit price of 192.72 and a total price of 21,391.92."
4,"450 MM CABLE TRAY HDG, 2.0 MM THICKNESS",271.0,Mtr,cable tray,"width:450mm, thickness:2.0mm, length:3m",HDG,,"450 MM CABLE TRAY HDG, 2.0 MM THICKNESS - 3 METER LENGTH",271.0,Lth,153.12,41495.52,METAR,,0.85,✅ EXCELLENT,"UOM mismatch: BOQ=Mtr, Vendor=Lth","This item is a cable tray used for supporting and organizing electrical cables in industrial or commercial settings. It's manufactured by METAR, made of hot-dip galvanized (HDG) material for corrosion resistance, and has specific dimensions to accommodate various cable sizes and quantities."
5,"300 MM CABLE TRAY HDG, 1.5 MM THICKNESS",786.0,Mtr,cable tray,"width:300mm, thickness:1.5mm, length:3m",HDG,,"300 MM CABLE TRAY HDG, 1.5 MM THICKNESS- 3 METER LENGTH",786.0,Lth,85.14,66920.04,METAR,,0.85,✅ EXCELLENT,"UOM mismatch: BOQ=Mtr, Vendor=Lth","This item is a cable tray used for supporting and organizing electrical cables in various installations. It's manufactured by METAR, made of HDG (Hot-Dip Galvanized) material for corrosion resistance, and has specific dimensions to accommodate different cable loads and installation requirements."
6,"225 MM CABLE TRAY HDG, 1.5 MM THICKNESS",560.0,Mtr,cable tray,"width:225mm, thickness:1.5mm, length:3m",HDG,,"225 MM CABLE TRAY HDG, 1.5 MM THICKNESS- 3 METER LENGTH",560.0,Lth,70.29,39362.4,METAR,,0.85,✅ EXCELLENT,"UOM mismatch: BOQ=Mtr, Vendor=Lth","This item is a cable tray manufactured by METAR. It is made of HDG (Hot-Dip Galvanized) material, with dimensions of 225mm width, 1.5mm thickness, and 3 meters in length. The quantity ordered is 560 lengths, with a unit price of 70.29 and a total price of 39,362.40."
7,"200 MM CABLE TRAY HDG, 1.5 MM THICKNESS",10.0,Mtr,cable tray,"width:200mm, thickness:1.5mm, length:3m",HDG,,"200 MM CABLE TRAY HDG, 1.5 MM THICKNESS- 3 METER LENGTH",10.0,Lth,65.34,653.4,METAR,,0.85,✅ EXCELLENT,"UOM mismatch: BOQ=Mtr, Vendor=Lth","This item is a cable tray made by METAR. It is 200mm wide, 1.5mm thick, and 3 meters long. The material is HDG (Hot-Dip Galvanized), which provides corrosion resistance. It's sold in lengths (Lth) and the quotation is for 10 units."
8,"150 MM CABLE TRAY HDG, 1.5 MM THICKNESS",1000.0,Mtr,cable tray,"width:150mm, thickness:1.5mm, length:3m",HDG,,"150 MM CABLE TRAY HDG, 1.5 MM THICKNESS- 3 METER LENGTH",1000.0,Lth,55.44,55440.0,METAR,,0.85,✅ EXCELLENT,"UOM mismatch: BOQ=Mtr, Vendor=Lth","This item is a cable tray made of Hot-Dip Galvanized (HDG) material. It has a width of 150mm, thickness of 1.5mm, and comes in 3-meter lengths. The brand is METAR, and it's sold by length (Lth)."
9,"100 MM CABLE TRAY HDG, 1.5 MM THICKNESS",900.0,Mtr,cable tray,"width:100mm, thickness:1.5mm, length:3m",HDG,,"100 MM CABLE TRAY HDG, 1.5 MM THICKNESS- 3 METER LENGTH",900.0,Lth,45.54,40986.0,METAR,,0.85,✅ EXCELLENT,"UOM mismatch: BOQ=Mtr, Vendor=Lth","This item is a cable tray made by METAR. It is 100mm wide, 1.5mm thick, and comes in 3-meter lengths. The material is HDG (Hot-Dip Galvanized), which provides corrosion resistance. It is sold by length (Lth) and a large quantity (900) is being ordered."
10,"900 MM CABLE TRAY COVER HDG,",7.0,Lth,cable tray cover,"width:900mm, length:3m",HDG,,"900 MM CABLE TRAY COVER HDG,- 3 METER LENGTH- 1.5mm THICKNESS",7.0,Lth,184.14,1288.98,METAR,,1.00,✅ EXCELLENT,None,"This item is a cable tray cover made by METAR. It is 900mm wide, 3 meters long, and 1.5mm thick. The material is HDG (Hot-Dip Galvanized), which provides corrosion resistance. It is sold by length (Lth) and the quantity ordered is 7 units."
