BOQ Sr.No,BOQ Description,BOQ Qty,BOQ UOM,BOQ Item Type,BOQ Dimensions,BOQ Material,,Vendor Description,Vendor Qty,Vendor UOM,Vendor Unit Price,Vendor Total Price,Vendor Brand,,Match Confidence,Match Status,Issues,LLM Reasoning
1,"900 MM CABLE TRAY HDG, 2.0 MM THICKNESS",119.0,Mtr,cable tray,"width:900mm, thickness:2.0mm, length:3m",HDG,,TRAY 900X50X2.0MMX3MTR,119.0,LTH,228.0,27132.0,,,0.85,✅ EXCELLENT,"UOM mismatch: BOQ=Mtr, Vendor=LTH","This item is a cable tray with specific dimensions (900mm width, 50mm height, 2.0mm thickness, 3m length). The material is likely galvanized iron (GI) based on common industry standards for cable trays. The unit of measure (LTH) suggests it's sold by length."
2,"750 MM CABLE TRAY HDG, 2.0 MM THICKNESS",77.0,Mtr,cable tray,"width:750mm, thickness:2.0mm, length:3m",HDG,,TRAY 750X50X2.0MMX3MTR,77.0,LTH,195.0,15015.0,,,0.85,✅ EXCELLENT,"UOM mismatch: BOQ=Mtr, Vendor=LTH","This item is a cable tray with specific dimensions (750mm width, 50mm height, 2.0mm thickness, 3m length). The material is likely galvanized iron (GI) based on common industry standards for cable trays. The unit of measure (LTH) suggests it's sold by length."
3,"600 MM CABLE TRAY HDG, 2.0 MM THICKNESS",111.0,Mtr,cable tray,"width:600mm, thickness:2.0mm, length:3m",HDG,,TRAY 600X50X2.0MMX3MTR,111.0,LTH,162.0,17982.0,,,0.85,✅ EXCELLENT,"UOM mismatch: BOQ=Mtr, Vendor=LTH","This item is a cable tray with specific dimensions (600mm width, 50mm height, 2.0mm thickness, 3m length). The material is likely galvanized iron (GI) based on common industry standards for cable trays. The unit of measure (LTH) suggests it's sold by length."
4,"450 MM CABLE TRAY HDG, 2.0 MM THICKNESS",271.0,Mtr,cable tray,"width:450mm, thickness:2.0mm, length:3m",HDG,,TRAY 450X50X2.0MMX3MTR,271.0,LTH,125.0,33875.0,,,0.85,✅ EXCELLENT,"UOM mismatch: BOQ=Mtr, Vendor=LTH","This item is a cable tray with specific dimensions (450mm width, 50mm height, 2.0mm thickness, 3m length). The material is likely galvanized iron (GI) based on common industry standards for cable trays. The unit of measure (LTH) suggests it's sold by length."
5,"300 MM CABLE TRAY HDG, 1.5 MM THICKNESS",786.0,Mtr,cable tray,"width:300mm, thickness:1.5mm, length:3m",HDG,,TRAY 300X50X1.5MMX3MTR,786.0,LTH,74.0,58164.0,,,0.85,✅ EXCELLENT,"UOM mismatch: BOQ=Mtr, Vendor=LTH","This item is a cable tray with specific dimensions (300mm width, 50mm height, 1.5mm thickness, 3m length). The material is likely galvanized iron (GI) based on common industry standards for cable trays. The unit of measure (LTH) suggests it's sold by length."
6,"225 MM CABLE TRAY HDG, 1.5 MM THICKNESS",560.0,Mtr,cable tray,"width:225mm, thickness:1.5mm, length:3m",HDG,,TRAY 225X50X1.5MMX3MTR,560.0,LTH,61.0,34160.0,,,0.85,✅ EXCELLENT,"UOM mismatch: BOQ=Mtr, Vendor=LTH","This item is a cable tray with specific dimensions (225mm width, 50mm height, 1.5mm thickness, 3m length). The material is likely galvanized iron (GI) based on common industry standards for cable trays. The unit of measure (LTH) suggests it's sold by length."
7,"200 MM CABLE TRAY HDG, 1.5 MM THICKNESS",10.0,Mtr,cable tray,"width:200mm, thickness:1.5mm, length:3m",HDG,,TRAY 200X50X1.5MMX3MTR,10.0,LTH,57.0,570.0,,,0.85,✅ EXCELLENT,"UOM mismatch: BOQ=Mtr, Vendor=LTH","This item is a cable tray with specific dimensions (200mm width, 50mm height, 1.5mm thickness, 3m length). The material is likely galvanized iron (GI) based on common industry standards for cable trays. The unit of measure (LTH) suggests it's sold by length."
8,"150 MM CABLE TRAY HDG, 1.5 MM THICKNESS",1000.0,Mtr,cable tray,"width:150mm, thickness:1.5mm, length:3m",HDG,,TRAY 150X50X1.5MMX3MTR,1000.0,LTH,47.0,47000.0,,,0.85,✅ EXCELLENT,"UOM mismatch: BOQ=Mtr, Vendor=LTH","This item is a cable tray with specific dimensions (150mm width, 50mm height, 1.5mm thickness, 3m length). The material is likely galvanized iron (GI) based on common industry standards for cable trays. The unit of measure (LTH) suggests it's sold by length."
9,"100 MM CABLE TRAY HDG, 1.5 MM THICKNESS",900.0,Mtr,cable tray,"width:100mm, thickness:1.5mm, length:3m",HDG,,TRAY 100X50X1.5MMX3MTR,900.0,LTH,39.0,35100.0,,,0.85,✅ EXCELLENT,"UOM mismatch: BOQ=Mtr, Vendor=LTH","This item is a cable tray with specific dimensions (100mm width, 50mm height, 1.5mm thickness, 3m length). The material is likely galvanized iron (GI) based on common industry standards for cable trays. The unit of measure (LTH) suggests it's sold by length."
10,"900 MM CABLE TRAY COVER HDG,",7.0,Lth,cable tray cover,"width:900mm, length:3m",HDG,,TRAY VENTILATED COVER 900X15X2.0MMX3MTR,7.0,LTH,233.0,1631.0,,,1.00,✅ EXCELLENT,None,"This item is a ventilated cover for a cable tray. It has specific dimensions and is likely made of galvanized iron (GI) material, which is common for cable tray components."
11,"750 MM CABLE TRAY COVER  HDG,",4.0,Lth,cable tray cover,"width:750mm, length:3m",HDG,,TRAY VENTILATED COVER 750X15X2.0MMX3MTR,4.0,LTH,196.0,784.0,,,1.00,✅ EXCELLENT,None,"This item is a ventilated cover for a cable tray, which is an accessory used to protect cables in a tray system. The ventilation allows for air circulation."
12,"600 MM CABLE TRAY COVER HDG,",11.0,Lth,cable tray cover,"width:600mm, length:3m",HDG,,TRAY VENTILATED COVER 600X15X2.0MMX3MTR,11.0,LTH,158.0,1738.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=cable tray cover, Vendor=Tray Ventilated Cover","This item is a ventilated cover for a cable tray. It is 600mm wide, 2.0mm thick, and 3 meters long. The material is likely galvanized iron (GI) based on common practices for cable tray accessories."
13,"450 MM CABLE TRAY COVER HDG,",5.0,Lth,cable tray cover,"width:450mm, length:3m",HDG,,TRAY VENTILATED COVER 450X15X2.0MMX3MTR,5.0,LTH,121.0,605.0,,,1.00,✅ EXCELLENT,None,"This item is a ventilated cover for a cable tray, which is an accessory used to protect cables in a tray system. The dimensions and material suggest it's a heavy-duty galvanized (HDG) cover."
14,"300 MM CABLE TRAY COVER HDG,",44.0,Lth,cable tray cover,"width:300mm, length:3m",HDG,,TRAY VENTILATED COVER 300X15X1.5MMX3MTR,44.0,LTH,65.0,2860.0,,,1.00,✅ EXCELLENT,None,"This item is a ventilated cover for a cable tray. It has specific dimensions and is likely made of galvanized iron (GI) material, which is common for such products. The ventilation feature allows for air circulation and heat dissipation in cable management systems."
15,"225 MM CABLE TRAY COVER HDG,",38.0,Lth,cable tray cover,"width:225mm, length:3m",HDG,,TRAY VENTILATED COVER 225X15X1.5MMX3MTR,38.0,LTH,51.0,1938.0,,,1.00,✅ EXCELLENT,None,"This item is a ventilated cover for a cable tray. It has specific dimensions and is likely made of HDG (Hot-Dip Galvanized) material, which is common for cable tray components."
16,"200 MM CABLE TRAY COVER HDG,",2.0,Lth,cable tray cover,"width:200mm, length:3m",HDG,,TRAY VENTILATED COVER 200X15X1.5MMX3MTR,2.0,LTH,46.0,92.0,,,1.00,✅ EXCELLENT,None,"This item is a ventilated cover for a cable tray. It has specific dimensions and is likely made of galvanized iron (GI) material, which is common for cable tray components."
17,"150 MM CABLE TRAY COVER HDG,",19.0,Lth,cable tray cover,"width:150mm, length:3m",HDG,,TRAY VENTILATED COVER 150X15X1.5MMX3MTR,19.0,LTH,36.0,684.0,,,1.00,✅ EXCELLENT,None,"This item is a ventilated cover for a cable tray. It has specific dimensions and is likely made of galvanized iron (GI) material, which is common for cable tray components."
